Account,Invoice number,Invoice Date,Year,Month,Product,Quantity, Invoice amount 
1465,3051188,21/11/2013,2013,11,217,103," $40,410.33 "
1259,3887086,20/11/2013,2013,11,106,165," $55,229.17 "
1126,3129444,19/11/2013,2013,11,187,51," $20,910.00 "
1838,3021713,19/11/2013,2013,11,268,212," $27,660.22 "
1750,3900147,19/11/2013,2013,11,296,98," $26,648.16 "
1612,3897264,19/11/2013,2013,11,157,227," $86,695.84 "
1586,3094883,19/11/2013,2013,11,166,204," $65,450.00 "
1806,3272725,18/11/2013,2013,11,157,152," $58,051.84 "
1551,3777543,18/11/2013,2013,11,169,236," $47,351.04 "
1251,3983244,18/11/2013,2013,11,146,141," $46,608.33 "
1936,3919445,17/11/2013,2013,11,255,26," $8,190.00 "
1973,3749790,17/11/2013,2013,11,108,26," $1,716.00 "
1794,3907494,17/11/2013,2013,11,285,63," $9,698.18 "
1104,3257779,17/11/2013,2013,11,227,78," $6,030.82 "
1909,3631848,16/11/2013,2013,11,140,22," $10,102.91 "
1126,3040799,16/11/2013,2013,11,172,25," $8,529.55 "
1936,3390327,15/11/2013,2013,11,215,141," $37,593.16 "
1803,3372648,14/11/2013,2013,11,267,99," $26,851.50 "
1955,3324709,14/11/2013,2013,11,255,229," $72,135.00 "
1693,3749811,14/11/2013,2013,11,187,258," $105,780.00 "
1251,3150025,14/11/2013,2013,11,141,98," $22,771.64 "
1126,3209011,14/11/2013,2013,11,166,21," $6,737.50 "
1806,3883013,13/11/2013,2013,11,225,69," $7,402.59 "
1569,3418343,13/11/2013,2013,11,280,156," $60,569.60 "
1455,3808718,13/11/2013,2013,11,183,128," $32,448.00 "
1441,3348515,13/11/2013,2013,11,172,281," $95,872.09 "
1600,3337801,12/11/2013,2013,11,285,32," $4,926.06 "
1613,3075946,12/11/2013,2013,11,148,15," $2,357.44 "
1760,3104929,12/11/2013,2013,11,193,144," $14,580.00 "
1176,3894704,11/11/2013,2013,11,107,244," $21,050.55 "
1614,3402695,11/11/2013,2013,11,106,10," $3,347.22 "
1591,3140127,11/11/2013,2013,11,114,200," $26,640.00 "
1478,3275754,10/11/2013,2013,11,254,191," $70,720.35 "
1465,3718784,10/11/2013,2013,11,299,288," $68,200.00 "
1443,3311222,10/11/2013,2013,11,180,169," $25,878.13 "
1613,3482104,9/11/2013,2013,11,217,284," $111,422.67 "
1503,3683510,9/11/2013,2013,11,124,97," $11,737.00 "
1184,3670535,9/11/2013,2013,11,235,149," $13,816.36 "
1235,3770811,8/11/2013,2013,11,280,291," $112,985.60 "
1693,3569543,8/11/2013,2013,11,193,61," $6,176.25 "
1138,3322727,8/11/2013,2013,11,197,181," $7,272.91 "
1945,3336283,8/11/2013,2013,11,261,257," $81,109.20 "
1503,3410846,7/11/2013,2013,11,105,234," $112,775.00 "
1575,3443669,7/11/2013,2013,11,173,58," $29,256.45 "
1455,3882570,6/11/2013,2013,11,191,66," $20,328.00 "
1219,3317788,6/11/2013,2013,11,100,150," $58,727.27 "
1715,3525316,6/11/2013,2013,11,140,143," $65,668.91 "
1955,3177869,5/11/2013,2013,11,169,34," $6,821.76 "
1148,3939605,5/11/2013,2013,11,100,32," $12,528.48 "
1856,3463023,5/11/2013,2013,11,173,122," $61,539.42 "
1392,3055087,5/11/2013,2013,11,122,229," $88,279.50 "
1226,3872430,5/11/2013,2013,11,228,232," $33,603.75 "
1329,3847444,5/11/2013,2013,11,223,231," $32,404.17 "
1715,3779363,4/11/2013,2013,11,108,103," $6,798.00 "
1677,3367623,4/11/2013,2013,11,250,54," $19,309.09 "
1235,3625943,4/11/2013,2013,11,235,55," $5,100.00 "
1864,3245964,4/11/2013,2013,11,276,116," $24,882.00 "
1617,3510020,4/11/2013,2013,11,203,71," $4,740.22 "
1386,3470812,3/11/2013,2013,11,296,27," $7,341.84 "
1432,3725301,3/11/2013,2013,11,285,25," $3,848.48 "
1125,3438000,3/11/2013,2013,11,215,194," $51,723.93 "
1395,3530183,3/11/2013,2013,11,216,212," $95,541.33 "
1412,3538414,1/11/2013,2013,11,288,125," $20,541.48 "
1158,3441786,1/11/2013,2013,11,124,200," $24,200.00 "
1611,3432739,30/10/2013,2013,10,180,131," $20,059.38 "
1682,3891634,30/10/2013,2013,10,285,26," $4,002.42 "
1454,3711280,30/10/2013,2013,10,259,243," $98,794.08 "
1715,3260980,30/10/2013,2013,10,183,88," $22,308.00 "
1104,3864437,29/10/2013,2013,10,170,50," $14,641.41 "
1979,3679289,29/10/2013,2013,10,157,84," $32,081.28 "
1864,3845876,29/10/2013,2013,10,288,273," $44,862.59 "
1375,3257157,28/10/2013,2013,10,157,61," $23,297.12 "
1137,3317637,28/10/2013,2013,10,288,80," $13,146.55 "
1979,3754801,28/10/2013,2013,10,217,247," $96,906.33 "
1467,3217502,28/10/2013,2013,10,110,299," $38,870.00 "
1329,3777109,28/10/2013,2013,10,204,113," $24,471.56 "
1226,3452475,28/10/2013,2013,10,110,79," $10,270.00 "
1183,3640656,27/10/2013,2013,10,169,187," $37,519.68 "
1628,3770079,27/10/2013,2013,10,108,28," $1,848.00 "
1443,3260086,27/10/2013,2013,10,274,159," $59,322.90 "
1176,3555574,26/10/2013,2013,10,299,357," $84,539.58 "
1586,3353258,26/10/2013,2013,10,214,164," $30,526.36 "
1190,3815298,26/10/2013,2013,10,124,283," $34,243.00 "
1693,3844163,26/10/2013,2013,10,210,85," $9,852.27 "
1886,3476934,26/10/2013,2013,10,225,183," $19,632.96 "
1760,3339238,26/10/2013,2013,10,184,214," $94,208.64 "
1166,3757444,25/10/2013,2013,10,227,167," $12,912.14 "
1682,3367098,25/10/2013,2013,10,110,52," $6,760.00 "
1790,3579642,25/10/2013,2013,10,107,217," $18,721.18 "
1251,3357062,24/10/2013,2013,10,243,95," $28,856.25 "
1038,3491766,24/10/2013,2013,10,148,51," $8,015.29 "
1496,3191664,24/10/2013,2013,10,100,14," $5,481.21 "
1226,3372384,23/10/2013,2013,10,122,357," $137,623.50 "
1130,3284969,23/10/2013,2013,10,166,267," $85,662.50 "
1443,3436832,23/10/2013,2013,10,215,260," $69,320.73 "
1455,3961792,22/10/2013,2013,10,268,293," $38,228.51 "
1919,3803564,22/10/2013,2013,10,148,96," $15,087.60 "
1520,3854550,22/10/2013,2013,10,292,260," $82,062.50 "
1801,3502177,21/10/2013,2013,10,227,75," $5,798.86 "
1375,3202837,21/10/2013,2013,10,114,197," $26,240.40 "
1454,3041737,21/10/2013,2013,10,197,176," $7,072.00 "
1919,3092347,21/10/2013,2013,10,286,169," $43,196.40 "
1190,3593884,20/10/2013,2013,10,172,142," $48,447.82 "
1463,3637682,20/10/2013,2013,10,122,257," $99,073.50 "
1958,3250723,20/10/2013,2013,10,228,173," $25,057.97 "
1104,3831171,20/10/2013,2013,10,204,149," $32,267.81 "
1503,3502038,19/10/2013,2013,10,166,105," $33,687.50 "
1864,3887914,19/10/2013,2013,10,222,140," $13,230.14 "
1455,3492399,19/10/2013,2013,10,267,131," $35,530.77 "
1104,3983357,19/10/2013,2013,10,225,88," $9,440.99 "
1329,3155322,18/10/2013,2013,10,107,187," $16,133.00 "
1600,3899586,18/10/2013,2013,10,102,204," $66,963.00 "
1936,3422003,18/10/2013,2013,10,166,266," $85,341.67 "
1945,3247007,17/10/2013,2013,10,261,244," $77,006.40 "
1259,3321819,17/10/2013,2013,10,172,90," $30,706.36 "
1077,3339221,17/10/2013,2013,10,254,150," $55,539.55 "
1158,3196218,17/10/2013,2013,10,180,203," $31,084.38 "
1054,3303657,17/10/2013,2013,10,139,216," $23,652.00 "
1166,3981892,17/10/2013,2013,10,243,279," $84,746.25 "
1790,3794209,16/10/2013,2013,10,274,266," $99,244.60 "
1735,3683575,16/10/2013,2013,10,210,91," $10,547.73 "
1801,3191537,16/10/2013,2013,10,173,149," $75,158.80 "
1219,3397596,16/10/2013,2013,10,299,154," $36,468.06 "
1158,3337626,16/10/2013,2013,10,125,158," $23,463.00 "
1187,3783859,15/10/2013,2013,10,183,169," $42,841.50 "
1187,3419667,15/10/2013,2013,10,173,259," $130,645.17 "
1386,3771587,14/10/2013,2013,10,110,61," $7,930.00 "
1917,3069760,14/10/2013,2013,10,228,21," $3,041.72 "
1995,3878300,14/10/2013,2013,10,280,271," $105,220.27 "
1052,3273570,14/10/2013,2013,10,259,251," $102,046.56 "
1137,3091096,13/10/2013,2013,10,286,212," $54,187.20 "
1886,3776592,13/10/2013,2013,10,131,207," $90,821.25 "
1909,3180322,13/10/2013,2013,10,140,287," $131,797.04 "
1575,3850652,13/10/2013,2013,10,149,122," $24,142.44 "
1600,3589926,13/10/2013,2013,10,100,139," $54,420.61 "
1569,3831054,13/10/2013,2013,10,268,95," $12,394.91 "
1611,3090256,12/10/2013,2013,10,106,205," $68,618.06 "
1166,3896985,12/10/2013,2013,10,119,232," $83,161.07 "
1191,3510448,12/10/2013,2013,10,285,248," $38,176.97 "
1794,3279571,12/10/2013,2013,10,187,128," $52,480.00 "
1801,3668628,12/10/2013,2013,10,260,90," $19,176.14 "
1126,3324560,12/10/2013,2013,10,169,9," $1,805.76 "
1077,3316229,11/10/2013,2013,10,157,126," $48,121.92 "
1092,3879038,11/10/2013,2013,10,251,148," $32,888.89 "
1945,3791363,11/10/2013,2013,10,110,143," $18,590.00 "
1917,3370918,11/10/2013,2013,10,122,221," $85,195.50 "
1226,3486001,11/10/2013,2013,10,100,237," $92,789.09 "
1478,3445145,10/10/2013,2013,10,255,124," $39,060.00 "
1735,3688803,10/10/2013,2013,10,100,243," $95,138.18 "
1995,3160414,9/10/2013,2013,10,184,197," $86,724.77 "
1054,3300336,9/10/2013,2013,10,292,189," $59,653.13 "
1979,3944424,9/10/2013,2013,10,217,258," $101,222.00 "
1126,3562243,9/10/2013,2013,10,106,128," $42,844.44 "
1628,3240075,9/10/2013,2013,10,139,213," $23,323.50 "
1803,3797211,9/10/2013,2013,10,173,286," $144,264.55 "
1375,3166917,9/10/2013,2013,10,133,166," $39,360.44 "
1591,3481176,8/10/2013,2013,10,173,170," $85,751.65 "
1613,3553939,8/10/2013,2013,10,216,203," $91,485.33 "
1392,3795179,8/10/2013,2013,10,184,28," $12,326.36 "
1219,3631245,8/10/2013,2013,10,222,214," $20,223.21 "
1608,3756050,8/10/2013,2013,10,280,278," $107,938.13 "
1838,3348354,8/10/2013,2013,10,148,108," $16,973.55 "
1257,3819685,8/10/2013,2013,10,254,31," $11,478.17 "
1441,3275012,8/10/2013,2013,10,108,206," $13,596.00 "
1269,3111867,8/10/2013,2013,10,281,89," $19,777.78 "
1054,3708713,6/10/2013,2013,10,215,51," $13,597.53 "
1612,3834003,6/10/2013,2013,10,243,64," $19,440.00 "
1721,3571908,6/10/2013,2013,10,259,97," $39,436.32 "
1551,3236004,6/10/2013,2013,10,180,19," $2,909.38 "
1054,3852747,6/10/2013,2013,10,102,125," $41,031.25 "
1059,3862317,5/10/2013,2013,10,281,125," $27,777.78 "
1052,3718783,5/10/2013,2013,10,220,283," $59,536.13 "
1955,3845380,5/10/2013,2013,10,113,170," $26,112.00 "
1464,3671440,4/10/2013,2013,10,157,187," $71,419.04 "
1617,3921698,4/10/2013,2013,10,196,236," $36,875.00 "
1611,3156101,4/10/2013,2013,10,223,272," $38,155.56 "
1331,3371367,4/10/2013,2013,10,173,169," $85,247.23 "
1606,3598679,4/10/2013,2013,10,180,182," $27,868.75 "
1608,3263164,4/10/2013,2013,10,173,113," $56,999.63 "
1917,3440957,3/10/2013,2013,10,133,122," $28,927.56 "
1894,3125068,3/10/2013,2013,10,125,43," $6,385.50 "
1750,3016750,3/10/2013,2013,10,285,58," $8,928.48 "
1176,3804602,2/10/2013,2013,10,133,240," $56,906.67 "
1126,3265056,2/10/2013,2013,10,157,174," $66,454.08 "
1251,3497343,1/10/2013,2013,10,180,173," $26,490.63 "
1864,3859483,1/10/2013,2013,10,187,125," $51,250.00 "
1052,3848545,1/10/2013,2013,10,214,300," $55,840.91 "
1126,3857460,1/10/2013,2013,10,139,76," $8,322.00 "
1614,3839184,1/10/2013,2013,10,114,180," $23,976.00 "
1584,3392376,30/09/2013,2013,9,157,118," $45,066.56 "
1259,3156017,30/09/2013,2013,9,217,239," $93,767.67 "
1760,3379852,30/09/2013,2013,9,216,94," $42,362.67 "
1587,3183714,30/09/2013,2013,9,223,15," $2,104.17 "
1052,3710257,30/09/2013,2013,9,122,292," $112,566.00 "
1611,3991728,29/09/2013,2013,9,148,293," $46,048.61 "
1909,3877737,29/09/2013,2013,9,260,146," $31,107.95 "
1520,3036079,29/09/2013,2013,9,124,185," $22,385.00 "
1760,3264040,28/09/2013,2013,9,107,156," $13,458.55 "
1465,3712963,28/09/2013,2013,9,102,128," $42,016.00 "
1375,3591949,27/09/2013,2013,9,108,147," $9,702.00 "
1584,3640001,27/09/2013,2013,9,114,63," $8,391.60 "
1463,3772787,27/09/2013,2013,9,210,221," $25,615.91 "
1269,3364782,27/09/2013,2013,9,281,133," $29,555.56 "
1958,3873269,27/09/2013,2013,9,169,212," $42,535.68 "
1551,3948329,27/09/2013,2013,9,281,104," $23,111.11 "
1478,3624222,27/09/2013,2013,9,204,157," $34,000.31 "
1587,3662283,27/09/2013,2013,9,217,297," $116,523.00 "
1606,3994584,26/09/2013,2013,9,292,10," $3,156.25 "
1693,3246420,26/09/2013,2013,9,267,101," $27,393.95 "
1979,3310417,26/09/2013,2013,9,235,201," $18,638.18 "
1183,3913288,25/09/2013,2013,9,250,45," $16,090.91 "
1611,3989303,25/09/2013,2013,9,286,146," $37,317.60 "
1584,3799082,25/09/2013,2013,9,157,258," $98,535.36 "
1138,3709300,24/09/2013,2013,9,166,15," $4,812.50 "
1794,3687103,24/09/2013,2013,9,210,23," $2,665.91 "
1432,3716396,24/09/2013,2013,9,117,228," $105,001.60 "
1077,3004839,23/09/2013,2013,9,214,114," $21,219.55 "
1614,3637722,23/09/2013,2013,9,228,160," $23,175.00 "
1614,3752739,23/09/2013,2013,9,108,34," $2,244.00 "
1443,3602662,23/09/2013,2013,9,239,234," $47,461.34 "
1617,3571656,23/09/2013,2013,9,110,277," $36,010.00 "
1052,3811898,23/09/2013,2013,9,124,190," $22,990.00 "
1979,3241190,23/09/2013,2013,9,210,118," $13,677.27 "
1677,3387586,22/09/2013,2013,9,180,65," $9,953.13 "
1803,3260331,22/09/2013,2013,9,172,157," $53,565.55 "
1721,3675698,22/09/2013,2013,9,180,63," $9,646.88 "
1612,3102611,22/09/2013,2013,9,187,107," $43,870.00 "
1919,3128195,22/09/2013,2013,9,292,81," $25,565.63 "
1995,3219058,22/09/2013,2013,9,215,115," $30,661.09 "
1441,3316627,21/09/2013,2013,9,186,36," $8,921.14 "
1126,3042700,21/09/2013,2013,9,243,22," $6,682.50 "
1176,3811398,21/09/2013,2013,9,250,31," $11,084.85 "
1995,3455210,21/09/2013,2013,9,108,251," $16,566.00 "
1815,3459606,20/09/2013,2013,9,180,233," $35,678.13 "
1606,3671869,20/09/2013,2013,9,131,179," $78,536.25 "
1886,3867120,20/09/2013,2013,9,166,158," $50,691.67 "
1584,3893332,20/09/2013,2013,9,133,87," $20,628.67 "
1979,3155841,19/09/2013,2013,9,148,76," $11,944.35 "
1591,3069477,19/09/2013,2013,9,259,181," $73,587.36 "
1259,3220418,19/09/2013,2013,9,227,193," $14,922.41 "
1735,3728468,19/09/2013,2013,9,100,263," $102,968.48 "
1463,3346763,19/09/2013,2013,9,228,144," $20,857.50 "
1496,3137267,19/09/2013,2013,9,131,114," $50,017.50 "
1038,3127262,18/09/2013,2013,9,125,176," $26,136.00 "
1887,3034201,18/09/2013,2013,9,230,157," $34,528.58 "
1864,3302503,17/09/2013,2013,9,285,51," $7,850.91 "
1886,3847068,17/09/2013,2013,9,146,19," $6,280.56 "
1919,3012678,16/09/2013,2013,9,139,258," $28,251.00 "
1183,3834467,16/09/2013,2013,9,122,108," $41,634.00 "
1126,3803792,16/09/2013,2013,9,148,68," $10,687.05 "
1432,3502029,16/09/2013,2013,9,131,284," $124,605.00 "
1760,3661959,16/09/2013,2013,9,100,99," $38,760.00 "
1226,3109062,15/09/2013,2013,9,119,307," $110,045.04 "
1125,3921048,15/09/2013,2013,9,220,210," $44,178.75 "
1803,3882845,15/09/2013,2013,9,204,134," $29,019.38 "
1750,3786716,15/09/2013,2013,9,146,52," $17,188.89 "
1331,3207835,14/09/2013,2013,9,139,69," $7,555.50 "
1979,3655722,14/09/2013,2013,9,203,31," $2,069.67 "
1614,3841116,13/09/2013,2013,9,148,285," $44,791.31 "
1176,3748913,13/09/2013,2013,9,110,75," $9,750.00 "
1894,3981513,13/09/2013,2013,9,243,298," $90,517.50 "
1894,3552858,13/09/2013,2013,9,267,160," $43,396.36 "
1608,3066331,12/09/2013,2013,9,267,159," $43,125.14 "
1750,3012521,12/09/2013,2013,9,107,299," $25,795.55 "
1806,3391409,10/09/2013,2013,9,180,51," $7,809.38 "
1443,3221901,10/09/2013,2013,9,110,38," $4,940.00 "
1617,3497471,10/09/2013,2013,9,173,168," $84,742.81 "
1496,3148758,9/09/2013,2013,9,216,231," $104,104.00 "
1059,3441680,9/09/2013,2013,9,148,24," $3,771.90 "
1432,3822014,9/09/2013,2013,9,250,48," $17,163.64 "
1586,3493286,9/09/2013,2013,9,157,130," $49,649.60 "
1454,3832047,8/09/2013,2013,9,159,191," $27,127.97 "
1183,3330912,8/09/2013,2013,9,225,179," $19,203.83 "
1392,3155964,8/09/2013,2013,9,243,105," $31,893.75 "
1447,3811496,8/09/2013,2013,9,222,23," $2,173.52 "
1612,3402354,8/09/2013,2013,9,186,173," $42,871.02 "
1463,3894661,8/09/2013,2013,9,284,100," $7,475.00 "
1612,3384799,7/09/2013,2013,9,250,4," $1,430.30 "
1979,3745894,7/09/2013,2013,9,159,132," $18,748.13 "
1130,3924633,7/09/2013,2013,9,193,170," $17,212.50 "
1955,3875020,7/09/2013,2013,9,230,143," $31,449.60 "
1191,3590481,5/09/2013,2013,9,140,145," $66,587.36 "
1052,3817582,5/09/2013,2013,9,217,4," $1,569.33 "
1612,3881127,5/09/2013,2013,9,215,44," $11,731.20 "
1886,3257076,5/09/2013,2013,9,119,53," $18,998.00 "
